hindi,hinglish
वह बेकार बेटा था।,Woh bekar beta tha.
यह सिग्नल बड़ा है।,Yeh signal bada hai
मुझे एक खराब कूपन चाहिए।,mujhe ek kharab coupon chahiye.
वह लंबा ताई था।,Woh lamba tai tha.
मेरे पास एक दिन है।,Mere paas ek din hai.
मुझे एक अच्छा शेयर चाहिए।,mujhe ek accha share chahiye.
यह पोर्टल छोटा है।,Yeh portal chhota hai
यह उठता है,yah uthta hai
पानी के,paani ke
तेज़ मेज़ है,tez mez hai
मुझे एक लंबा फिल्टर चाहिए।,mujhe ek lamba filter chahiye.
सुंदर काम है,sundar kaam hai
यह ज़बरदस्त ताई और वह ज़बरदस्त चाचा है।,Yeh zabardast tai aur woh zabardast chacha hai
इसका बैग लेकर आया।,iska bag lekar aaya.
मुझे एक पतला यूपीआई चाहिए।,mujhe ek patla UPI chahiye.
वह सुंदर बेटा था।,Woh sundar beta tha.
यह ठंडा परिवार है।,Yeh thanda parivar hai
तुम ले रही है,tum le rahi hai
मुझे एक चौड़ा मीम चाहिए।,mujhe ek chaura meme chahiye.
यह मोटा घरवाले है।,Yeh mota gharwale hai
वह उत्साहित दुश्मन होगा।,Woh utsaahit dushman hoga.
यह बढ़िया भाई और वह बढ़िया चाची है।,Yeh badhiya bhai aur woh badhiya chachi hai
मेरे पास कई दुख है।,Mere paas kai dukh hai.
वह बड़ा लड़की होगा।,Woh bada ladki hoga.
यह सीरीज़ बढ़िया है।,Yeh series badhiya hai
मुझे सड़क चाहिए,mujhe sadak chahiye
वह बूढ़ा दादी होगा।,Woh budha dadi hoga.
मुझे एक बेकार रील चाहिए।,mujhe ek bekar reel chahiye.
मेरे पास दो एयरपोर्ट है।,Mere paas do airport hai.
यह छत खरीदा।,Yeh chhat kharida.
यह ज़बरदस्त चाची और वह ज़बरदस्त पापा है।,Yeh zabardast chachi aur woh zabardast papa hai
वह डरा हुआ सास था।,Woh dara hua saas tha.
यह बेहतर पति है।,Yeh behtar pati hai
यह ब्राउज़र बेहतर है।,Yeh browser behtar hai
वह नीला बहन था।,Woh neela behen tha.
यह शानदार नाना है।,Yeh shaandaar nana hai
सुबह को,subah ko
गली के बिना,gali ke bina
यह शर्मीला ताऊ है।,Yeh sharmila tau hai
ये बताेगा,ye bataega
यह टैबलेट साधारण है।,Yeh tablet sadharan hai
यह धांसू ताऊ और वह धांसू चाचा है।,Yeh dhansu tau aur woh dhansu chacha hai
मेरे पास बहुत सारे परसों है।,Mere paas bahut sare parso hai.
यह कीमती बेटा है।,Yeh qimati beta hai
वह बेईमान घरवाले था।,Woh beimana gharwale tha.
आप पीूँगी,aap piungi
यह बेहतर नाना और वह बेहतर दादी है।,Yeh behtar nana aur woh behtar dadi hai
तुझे देश चाहिए,tujhe desh chahiye
तुम देूँगा,tum deunga
कुछ काम पसंद है।,kuch kaam pasand hai.
मैं हँस रही हूँ,main hans rahi hoon
मुझे एक बेहतर कूपन चाहिए।,mujhe ek behtar coupon chahiye.
यह होशियार बच्चा है।,Yeh hoshiyar bachcha hai
यह अध्यापक आ रहा है।,Yeh adhayapak aa raha hai.
यह अच्छा बहन और वह अच्छा बेटा है।,Yeh accha behen aur woh accha beta hai
मुझे छत चाहिए,mujhe chhat chahiye
यह बेहतर बेटा और वह बेहतर चाचा है।,Yeh behtar beta aur woh behtar chacha hai
यह शानदार परिवार और वह शानदार पति है।,Yeh shaandaar parivar aur woh shaandaar pati hai
यह फॉलो सबसे बुरा है।,Yeh follow sabse bura hai
यह साधारण दोस्त है।,Yeh sadharan dost hai
मेरे पास तीन हीटर है।,Mere paas teen heater hai.
मेरे पास तीन डॉक्टर है।,Mere paas teen doctor hai.
यह वक्त जा रहा है।,Yeh waqt ja raha hai.
मिठाई रखो,mithai rakho
यह बढ़िया काम होगा।,Yeh badhiya kaam hoga.
मेरे पास बहुत सारे बाप है।,Mere paas bahut sare baap hai.
मुझे एक पेस्ट पसंद है,Mujhe ek paste pasand hai
यह खराब दादा और वह खराब घरवाले है।,Yeh kharab dada aur woh kharab gharwale hai
यह नीचा यार है।,Yeh neecha yaar hai
आप दुखी है,aap dukhi hai
यह कमेंट बढ़िया है।,Yeh comment badhiya hai
बड़ा गली,bada gali
शानदार समय,shaandaar samay
यह टैबलेट खराब है।,Yeh tablet kharab hai
उसे शहर चाहिए,use shehar chahiye
यह पेमेंट बढ़िया है।,Yeh payment badhiya hai
वह साफ ताऊ था।,Woh saaf tau tha.
यह सबसे अच्छा ताऊ और वह सबसे अच्छा दादा है।,Yeh sabse accha tau aur woh sabse accha dada hai
शानदार शहर,shaandaar shehar
यह बच्चा दोस्त है।,Yeh bachcha dost hai
यह शरबत जा रहा है।,Yeh sharbat ja raha hai.
यह बढ़िया दादी और वह बढ़िया परिवार है।,Yeh badhiya dadi aur woh badhiya parivar hai
मुझे एक लंबा लैपटॉप चाहिए।,mujhe ek lamba laptop chahiye.
यह आलसी बच्ची है।,Yeh aalsi bachchi hai
वह शांत चाची होगा।,Woh shant chachi hoga.
वह आेगी,vah aaegi
मेरा किया,mera kiya
वह बूढ़ा दोस्त था।,Woh budha dost tha.
मुझे याद चाहिए,mujhe yaad chahiye
मेरे पास दो रेलवे स्टेशन है।,Mere paas do railway station hai.
यह कमेंट सबसे अच्छा है।,Yeh comment sabse accha hai
यह आसान दिन है।,Yeh aasan din hai.
वह डरपोक लड़का था।,Woh darpok ladka tha.
जगह खा लो,jagah kha lo
वह सबसे बुरा लड़का होगा।,Woh sabse bura ladka hoga.
यह ज़बरदस्त ससुर और वह ज़बरदस्त परिवार है।,Yeh zabardast sasur aur woh zabardast parivar hai
मुझे एक पतला डीएम चाहिए।,mujhe ek patla DM chahiye.
यह केबल पतला है।,Yeh cable patla hai
वह बेवकूफ ताऊ था।,Woh bewakoof tau tha.
सुंदर रात है,sundar raat hai
यह रील बुरा है।,Yeh reel bura hai
मेरे पास बहुत सारे कुर्सी है।,Mere paas bahut sare kursi hai.
मुझे एक बेकार ट्रैकिंग चाहिए।,mujhe ek bekar tracking chahiye.
यह कॉल फालतू है।,Yeh call faltu hai
यह बोर बच्चा है।,Yeh bore bachcha hai
यह बफरिंग पुराना है।,Yeh buffering purana hai.
वह कमाल का ससुर था।,Woh kamaal ka sasur tha.
मैं बहुत दुखी हूँ,main bahut dukhi hoon
यह खराब बेटी और वह खराब चाची है।,Yeh kharab beti aur woh kharab chachi hai
हमेशा करो,hamesha karo
तुम हँस रहे हैं,tum hans rahe hain
वह दुखी यार था।,Woh dukh yaar tha.
मैं खेल रहे हैं,main khel rahe hain
यह कमाल का दादा और वह कमाल का नानी है।,Yeh kamaal ka dada aur woh kamaal ka nani hai
वह जवान बेटी था।,Woh jawan beti tha.
यह दाल है।,Yeh daal hai.
यह बुरा दादा और वह बुरा माँ है।,Yeh bura dada aur woh bura maa hai
आप बहुत छोटा है,aap bahut chhota hai
शायद ऐसा हो।,Shayad aisa ho.
यह स्टेशन आ रहा है।,Yeh station aa raha hai.
यह साधारण यार है।,Yeh sadharan yaar hai
यह होशियार घरवाले है।,Yeh hoshiyar gharwale hai
वह नीला यार होगा।,Woh neela yaar hoga.
मुझे फर्श चाहिए,mujhe farsh chahiye
यह शानदार दादी और वह शानदार बेटा है।,Yeh shaandaar dadi aur woh shaandaar beta hai
यह दादी जा रहा है।,Yeh dadi ja raha hai.
यह ऑफलाइन महंगा है।,Yeh offline mahanga hai.
वह तपता दादा होगा।,Woh tapta dada hoga.
यह वॉलेट छोटा है।,Yeh wallet chhota hai
मुझे एक क्लाउड पसंद है,Mujhe ek cloud pasand hai
यह बूढ़ा बहन है।,Yeh budha behen hai
मुझे एक ज़बरदस्त सर्वर चाहिए।,mujhe ek zabardast server chahiye.
वह अभी का पापा होगा।,Woh abhi ka papa hoga.
मुझे एक छोटा केस चाहिए।,mujhe ek chhota case chahiye.
यह बुरा बेटी और वह बुरा चाची है।,Yeh bura beti aur woh bura chachi hai
मुझे एक बुरा कार्ट चाहिए।,mujhe ek bura cart chahiye.
मुझे एक बढ़िया क्यूआर कोड चाहिए।,mujhe ek badhiya QR code chahiye.
मुझे एक ख़ास लैपटॉप चाहिए।,mujhe ek khaas laptop chahiye.
हिम्मत है,himmat hai
वह सफेद लड़की था।,Woh safed ladki tha.
यह मोटा लड़का होगा।,Yeh mota ladka hoga.
यह बेहतर भाई और वह बेहतर ताऊ है।,Yeh behtar bhai aur woh behtar tau hai
यह ज़बरदस्त चाचा और वह ज़बरदस्त पति है।,Yeh zabardast chacha aur woh zabardast pati hai
यह व्हाट्सएप ज़बरदस्त है।,Yeh WhatsApp zabardast hai
यह लॉगिन सबसे बुरा है।,Yeh login sabse bura hai
वह चपटा बेटी होगा।,Woh chapta beti hoga.
मेरे पास एक बिस्कुट है।,Mere paas ek biscuit hai.
आप जग रही है,aap jag rahi hai
मुझे एक ख़ास वेबसाइट चाहिए।,mujhe ek khaas website chahiye.
यह जवान पापा है।,Yeh jawan papa hai
माँ आ रहा है,maa aa raha hai
इसकी किताब लेकर आया।,iski kitaab lekar aaya.
मुझे एक सबसे बुरा सॉफ्टवेयर चाहिए।,mujhe ek sabse bura software chahiye.
वह पुराना ताई होगा।,Woh purana tai hoga.
वह नीचा दोस्त होगा।,Woh neecha dost hoga.
यह बेहतर दादा और वह बेहतर चाचा है।,Yeh behtar dada aur woh behtar chacha hai
वह गोल बच्ची होगा।,Woh gol bachchi hoga.
यह सबसे अच्छा सास और वह सबसे अच्छा बहन है।,Yeh sabse accha saas aur woh sabse accha behen hai
यह रो रही है,yah ro rahi hai
मुझे एक छोटा सीरीज़ चाहिए।,mujhe ek chhota series chahiye.
यह लाल परिवार है।,Yeh laal parivar hai
वह शर्मीला लड़की होगा।,Woh sharmila ladki hoga.
यह अच्छा चाची और वह अच्छा दादी है।,Yeh accha chachi aur woh accha dadi hai
देश के साथ,desh ke saath
नींद है,neend hai
मुझे एक लंबा मीम चाहिए।,mujhe ek lamba meme chahiye.
मुझे एक बड़ा कूपन चाहिए।,mujhe ek bada coupon chahiye.
वह गहरा नाना होगा।,Woh gahra nana hoga.
वह फालतू पति होगा।,Woh faltu pati hoga.
वह लाल दोस्त होगा।,Woh laal dost hoga.
वह मेहनती नानी था।,Woh mehnati nani tha.
वह खराब सास था।,Woh kharab saas tha.
मेरा बेटा कहाँ है?,mera beta kahan hai?
सड़क रख लो,sadak rakh lo
मुझे एक ब्राउज़र खरीदा,Mujhe ek browser kharida
मेरे पास एक माँ है।,Mere paas ek maa hai.
यह अकाउंट ख़ास है।,Yeh account khaas hai
यह दौड़ रही है,yah daud rahi hai
यह सर्च लंबा है।,Yeh search lamba hai
अभी आएँगे,abhi aaenge
मेरे पास एक अचार है।,Mere paas ek achar hai.
मुझे एक डेटा है,Mujhe ek data hai
यह सोूँगी,yah soungi
तेरे काम है,tere kaam hai
वह चपटा दादा था।,Woh chapta dada tha.
मेरे पास दो सही है।,Mere paas do sahi hai.
यह वेरिफिकेशन कमाल का है।,Yeh verification kamaal ka hai
मुझे दोस्त लेकर आया।,mujhe dost lekar aaya.
यह खराब माँ और वह खराब सास है।,Yeh kharab maa aur woh kharab saas hai
आप बोलते हैं,aap bolte hain
यह कैप्शन चौड़ा है।,Yeh caption chaura hai
वह चपटा नानी होगा।,Woh chapta nani hoga.
वह परेशान यार होगा।,Woh pareshan yaar hoga.
यह लाल बेटा है।,Yeh laal beta hai
मुझे एक बेहतर सीज़न चाहिए।,mujhe ek behtar season chahiye.
कैसे यह हो,kaise yah ho
मेरे पास चार बर्तन है।,Mere paas chaar bartan hai.
गंदी कमरा,gandi kamra
यह पिक्चर चौड़ा है।,Yeh picture chaura hai
वह मज़बूत नाना होगा।,Woh mazboot nana hoga.
यह मज़बूत परिवार है।,Yeh mazboot parivar hai
वह सरल ससुर होगा।,Woh saral sasur hoga.
यह पेमेंट सबसे अच्छा है।,Yeh payment sabse accha hai
यह बढ़िया पति और वह बढ़िया भाई है।,Yeh badhiya pati aur woh badhiya bhai hai
गंदा दाल,ganda daal
यह बेहतर बेटा और वह बेहतर माँ है।,Yeh behtar beta aur woh behtar maa hai
यह टिकटॉक बुरा है।,Yeh TikTok bura hai
वह खराब दादा होगा।,Woh kharab dada hoga.
यह खराब माँ और वह खराब दादा है।,Yeh kharab maa aur woh kharab dada hai
मुझे एक सबसे अच्छा इमेज चाहिए।,mujhe ek sabse accha image chahiye.
यह बढ़िया माँ और वह बढ़िया ताई है।,Yeh badhiya maa aur woh badhiya tai hai
यह उलझा घरवाले है।,Yeh uljha gharwale hai
हम बोल रही हूँ,hum bol rahi hoon
हम साल आऊँगा,hum saal aaunga
मुझे एक फालतू राउटर चाहिए।,mujhe ek faltu router chahiye.
वह छोटा दादा था।,Woh chhota dada tha.
यह बेहतर नाना और वह बेहतर सास है।,Yeh behtar nana aur woh behtar saas hai
यह बूढ़ा औरत है।,Yeh budha aurat hai
यह नीला दुश्मन है।,Yeh neela dushman hai
वे सोेगा,ve soega
वह चौड़ा भाई होगा।,Woh chaura bhai hoga.
यह सबसे अच्छा ताऊ और वह सबसे अच्छा पत्नी है।,Yeh sabse accha tau aur woh sabse accha patni hai
वह बेईमान दादी था।,Woh beimana dadi tha.
यह कठिन पापा है।,Yeh kathin papa hai
वह धांसू माँ होगा।,Woh dhansu maa hoga.
चैन है,chain hai
वह छोटा ताऊ था।,Woh chhota tau tha.
वह फालतू घरवाले था।,Woh faltu gharwale tha.
यह इयरफोन पतला है।,Yeh earphone patla hai
वह बहादुर पति होगा।,Woh bahadur pati hoga.
वह गोल दादी था।,Woh gol dadi tha.
मुझे एक बेकार लैपटॉप चाहिए।,mujhe ek bekar laptop chahiye.
मेरे पास दो अध्यापक है।,Mere paas do adhayapak hai.
आप बहुत पुराना है,aap bahut purana hai
यह तपता दादा है।,Yeh tapta dada hai
यह चैट पुराना है।,Yeh chat purana hai.
वह चपटा आदमी था।,Woh chapta aadmi tha.
वह बहुत दुखी है,vah bahut dukhi hai
यह प्रसन्न लड़की है।,Yeh prasanna ladki hai
यह कमाल का माँ और वह कमाल का पत्नी है।,Yeh kamaal ka maa aur woh kamaal ka patni hai
मुझे एक बेहतर इमेज चाहिए।,mujhe ek behtar image chahiye.
वह मज़बूत माँ था।,Woh mazboot maa tha.
यह हैक ज़बरदस्त है।,Yeh hack zabardast hai
वह तपता बूढ़ा होगा।,Woh tapta budha hoga.
यह गर्म दुश्मन है।,Yeh garam dushman hai
यह कमाल का बेटा और वह कमाल का पति है।,Yeh kamaal ka beta aur woh kamaal ka pati hai
यह फॉर्मेट बुरा है।,Yeh format bura hai.
यह हैरान आदमी है।,Yeh hairaan aadmi hai
यह उत्साहित यार है।,Yeh utsaahit yaar hai
यह नोटिफिकेशन सबसे बुरा है।,Yeh notification sabse bura hai
मुझे एक बेहतर लाइक चाहिए।,mujhe ek behtar like chahiye.
वह शर्मीला पति होगा।,Woh sharmila pati hoga.
तेरा काम लेकर आया।,tera kaam lekar aaya.
वह उथला बच्चा था।,Woh uthla bachcha tha.
यह खराब घरवाले और वह खराब बेटा है।,Yeh kharab gharwale aur woh kharab beta hai
मुझे एक बेहतर पोर्टल चाहिए।,mujhe ek behtar portal chahiye.
मुझे एक अच्छा जिफ चाहिए।,mujhe ek accha GIF chahiye.
यह भतीजा खरीदा।,Yeh bhatija kharida.
क्या तुम है?,kya tum hai?
यह परेशान बच्ची है।,Yeh pareshan bachchi hai
मेरे पास तीन अचार है।,Mere paas teen achar hai.
हौसला है,hausla hai
खाना ठंडा हो गया।,Khana thanda ho gaya.
यह इयरबड्स अच्छा है।,Yeh earbuds accha hai
यह कमाल का भाई और वह कमाल का परिवार है।,Yeh kamaal ka bhai aur woh kamaal ka parivar hai
यह ब्लॉक सबसे अच्छा है।,Yeh block sabse accha hai
मेरे पास बहुत सारे मेहनत है।,Mere paas bahut sare mehnat hai.
आपको यह देश चाहिए,aapko yah desh chahiye
कमाल खिड़की,kamaal khidki
मुझे एक बेकार हैक चाहिए।,mujhe ek bekar hack chahiye.
मेरा कमरा है,mera kamra hai
यह कमाल का पापा और वह कमाल का चाची है।,Yeh kamaal ka papa aur woh kamaal ka chachi hai
वह साफ चाची था।,Woh saaf chachi tha.
मेज़ खा लीजिए,mez kha lijiye
यह लॉगआउट खराब है।,Yeh logout kharab hai
मुझे एक बेहतर ओटीपी चाहिए।,mujhe ek behtar OTP chahiye.
वह ताज़ा बेटी होगा।,Woh taza beti hoga.
यह हूँ रहा है,yah hoon raha hai
साफ़ कमरा,saaf kamra
नानी आया,nani aaya
यह कनेक्शन सबसे अच्छा है।,Yeh connection sabse accha hai
यह शानदार ससुर और वह शानदार भाई है।,Yeh shaandaar sasur aur woh shaandaar bhai hai
वह उथला पति होगा।,Woh uthla pati hoga.
यह बुरा बेटा और वह बुरा पापा है।,Yeh bura beta aur woh bura papa hai
यह मीम धांसू है।,Yeh meme dhansu hai
यह सबसे बुरा सास है।,Yeh sabse bura saas hai
यह अपलोड ज़बरदस्त है।,Yeh upload zabardast hai
मेरे पास तीन परसों है।,Mere paas teen parso hai.
यह धांसू ताई और वह धांसू परिवार है।,Yeh dhansu tai aur woh dhansu parivar hai
मैं बहुत गुस्सा है,main bahut gussa hai
यह मिनट खरीदा।,Yeh minut kharida.
यह बग खराब है।,Yeh bug kharab hai.
यह ज़बरदस्त बेटी और वह ज़बरदस्त घरवाले है।,Yeh zabardast beti aur woh zabardast gharwale hai
यह अपलोड बुरा है।,Yeh upload bura hai.
वह बेईमान माँ था।,Woh beimana maa tha.
हर जगह आओ,har jagah aao
गंदा मोहल्ला,ganda mohalla
यह नोटिफिकेशन चौड़ा है।,Yeh notification chaura hai
फ्लिपकार्ट पर सस्ता है।,Flipkart pe sasta hai.
मेरे पास एक स्कूटर है।,Mere paas ek scooter hai.
यह बुरा दादी और वह बुरा भाई है।,Yeh bura dadi aur woh bura bhai hai
वह नीला पति था।,Woh neela pati tha.
वह चौड़ा पति होगा।,Woh chaura pati hoga.
वह सुंदर नानी था।,Woh sundar nani tha.
वह प्रसन्न चाची था।,Woh prasanna chachi tha.
यह वीडियो लंबा है।,Yeh video lamba hai
यह देर कार है।,Yeh der car hai.
कब से वह कर रहा है,kab se vah kar raha hai
मुझे एक यूज़रनेम खरीदा,Mujhe ek username kharida
हम चलूँगी,hum chalungi
मुझे एक बेहतर क्लाउड चाहिए।,mujhe ek behtar cloud chahiye.
वह उदास बहन था।,Woh udas behen tha.
यह बेहतर सास और वह बेहतर माँ है।,Yeh behtar saas aur woh behtar maa hai
वह नीला बेटी होगा।,Woh neela beti hoga.
यह बूढ़ा घरवाले है।,Yeh budha gharwale hai
यह फालतू ताई है।,Yeh faltu tai hai
कुहासा है।,Kuhasa hai
यह अच्छा लड़का है।,Yeh accha ladka hai
वह सेटिंग्स चाहिए,Woh settings chahiye
मुझे एक रोम है,Mujhe ek ROM hai
वह बेहतर ताऊ होगा।,Woh behtar tau hoga.
यह सिग्नल फालतू है।,Yeh signal faltu hai
मुझे एक साधारण मूवी चाहिए।,mujhe ek sadharan movie chahiye.
वह अच्छा बहन था।,Woh accha behen tha.
यह लेती है,yah leti hai
यह अच्छा भाई और वह अच्छा ताई है।,Yeh accha bhai aur woh accha tai hai
मेरे पास दो सड़क है।,Mere paas do sadak hai.
मैं लेता है,main leta hai
तुम बता रही है,tum bata rahi hai
मुझे एक बुरा सब्सक्रिप्शन चाहिए।,mujhe ek bura subscription chahiye.
वह चिंतित परिवार होगा।,Woh chintit parivar hoga.
यह शानदार बेटी और वह शानदार ताई है।,Yeh shaandaar beti aur woh shaandaar tai hai
मेरी थे रही है,meri the rahi hai
वह ऊंचा बेटी था।,Woh ooncha beti tha.
यह बड़ा लड़की था।,Yeh bada ladki tha.
यह रजिस्टर धांसू है।,Yeh register dhansu hai
उसकी देश है,uski desh hai
मुझे एक फालतू रिफंड चाहिए।,mujhe ek faltu refund chahiye.
आप जगेगी,aap jagegi
वह शानदार पत्नी था।,Woh shaandaar patni tha.
यह शो ख़ास है।,Yeh show khaas hai
इन्हें गाँव चाहिए,inhein gaanv chahiye
वह बेहतर ताऊ था।,Woh behtar tau tha.
इसे समय चाहिए,ise samay chahiye
तेज़ सड़क,tez sadak
वह ताज़ा बूढ़ा होगा।,Woh taza budha hoga.
यह शानदार पति और वह शानदार माँ है।,Yeh shaandaar pati aur woh shaandaar maa hai
वह नीला आदमी होगा।,Woh neela aadmi hoga.
मेरे पास तीन कसाई है।,Mere paas teen kasai hai.
सबकुछ दोस्त पसंद है।,sabkuch dost pasand hai.
वह नीचा पत्नी था।,Woh neecha patni tha.
वह काला चाची होगा।,Woh kala chachi hoga.
कौन तुम है,kaun tum hai
वह डरपोक दादी होगा।,Woh darpok dadi hoga.
यह स्मार्टफोन शानदार है।,Yeh smartphone shaandaar hai
मेरे पास कई दफ्तर है।,Mere paas kai daftar hai.
यह अच्छा बहन और वह अच्छा माँ है।,Yeh accha behen aur woh accha maa hai
आप लेेगा,aap leega
यह बुरा सास और वह बुरा पापा है।,Yeh bura saas aur woh bura papa hai
वह ज़बरदस्त बहन था।,Woh zabardast behen tha.
यह धांसू घरवाले और वह धांसू दादा है।,Yeh dhansu gharwale aur woh dhansu dada hai
यह धांसू माँ और वह धांसू पत्नी है।,Yeh dhansu maa aur woh dhansu patni hai
वह खराब बूढ़ा था।,Woh kharab budha tha.
वह हैरान ताई होगा।,Woh hairaan tai hoga.
मुझे एक छोटा वेबसाइट चाहिए।,mujhe ek chhota website chahiye.
बेहतर खिड़की,behtar khidki
वह बेहतर पापा होगा।,Woh behtar papa hoga.
मेरे पास चार हेडफोन है।,Mere paas chaar headphone hai.
यह मोटा सास है।,Yeh mota saas hai
मेरे पास दो आफिसर है।,Mere paas do officer hai.
यह प्यारा लड़की होगा।,Yeh pyara ladki hoga.
यह देूँगा,yah deunga
वह आलसी दुश्मन था।,Woh aalsi dushman tha.
हमारा बेटी कहाँ है?,hamara beti kahan hai?
वह ताज़ा पत्नी होगा।,Woh taza patni hoga.
यह चैट लंबा है।,Yeh chat lamba hai
वह ईमानदार सास होगा।,Woh imandar saas hoga.
वह गोल सास था।,Woh gol saas tha.
आप बहुत नाराज़ है,aap bahut naaraaz hai
वह मोटा बूढ़ा होगा।,Woh mota budha hoga.
मेरे पास बहुत सारे घड़ी है।,Mere paas bahut sare ghadi hai.
मेरे पास दो इंजीनियर है।,Mere paas do engineer hai.
वह उथला लड़का होगा।,Woh uthla ladka hoga.
छत देो,chhat deo
आप बैठता है,aap baithta hai
मेरे पास चार वादा है।,Mere paas chaar waada hai.
मुझे एक इंटरनेट चाहिए,Mujhe ek internet chahiye
यह गुलाबी फोन था।,Yeh gulabi phone tha.
वह समझदार आदमी होगा।,Woh samajhdar aadmi hoga.
छत रखो,chhat rakho
यह शानदार भाई और वह शानदार घरवाले है।,Yeh shaandaar bhai aur woh shaandaar gharwale hai
यह खराब बेटी और वह खराब ताऊ है।,Yeh kharab beti aur woh kharab tau hai
वह बेहतर ताई होगा।,Woh behtar tai hoga.
यह लंबा माँ है।,Yeh lamba maa hai
वह खेल रहा है,vah khel raha hai
यह चौड़ा दादा है।,Yeh chaura dada hai
मुझे एक पतला ऑफर चाहिए।,mujhe ek patla offer chahiye.
धीमा खाना,dheema khana
वह उथला नानी था।,Woh uthla nani tha.
यह खराब पति और वह खराब माँ है।,Yeh kharab pati aur woh kharab maa hai
यह धांसू भाई और वह धांसू बहन है।,Yeh dhansu bhai aur woh dhansu behen hai
नया देश है,naya desh hai
वह मोटा चाचा था।,Woh mota chacha tha.
मेरे पास कई रास्ता है।,Mere paas kai rasta hai.
वह नया पत्नी था।,Woh naya patni tha.
यह चिंतित सास है।,Yeh chintit saas hai
यह ईमानदार ताई है।,Yeh imandar tai hai
मुझे एक धांसू वॉइस कॉल चाहिए।,mujhe ek dhansu voice call chahiye.
वह अच्छा बच्चा था।,Woh accha bachcha tha.
वह बुरा लड़की होगा।,Woh bura ladki hoga.
यह फिल्टर बेहतर है।,Yeh filter behtar hai
क्यों यह करता है,kyun yah karta hai
यह सबसे अच्छा आदमी है।,Yeh sabse accha aadmi hai
वह चिंतित चाची था।,Woh chintit chachi tha.
मेरे पास कई नमक है।,Mere paas kai namak hai.
वह दुखी बहन होगा।,Woh dukh behen hoga.
यह कमाल का दादा और वह कमाल का बेटा है।,Yeh kamaal ka dada aur woh kamaal ka beta hai
वह बर्फ़ीला पति था।,Woh barfila pati tha.
वह पुराना लड़की था।,Woh purana ladki tha.
मेरे पास एक रेलवे स्टेशन है।,Mere paas ek railway station hai.
मुझे एक कमाल का मीम चाहिए।,mujhe ek kamaal ka meme chahiye.
यह शानदार भाई और वह शानदार नाना है।,Yeh shaandaar bhai aur woh shaandaar nana hai
मुझे एक बड़ा नोटिफिकेशन चाहिए।,mujhe ek bada notification chahiye.
तुम बहुत दुखी है,tum bahut dukhi hai
मुझे एक शानदार ट्रैकिंग चाहिए।,mujhe ek shaandaar tracking chahiye.
यह बुरा भाई और वह बुरा बेटा है।,Yeh bura bhai aur woh bura beta hai
मुझे एक बेहतर रिपोर्ट चाहिए।,mujhe ek behtar report chahiye.
कितनी हम है,kitni hum hai
वह बेईमान बच्ची होगा।,Woh beimana bachchi hoga.
यह कमाल का दादा और वह कमाल का भाई है।,Yeh kamaal ka dada aur woh kamaal ka bhai hai
आपके सुबह है,aapke subah hai
वह उलझा बच्चा होगा।,Woh uljha bachcha hoga.
यह सबसे अच्छा ताऊ है।,Yeh sabse accha tau hai
यह कमज़ोर दुश्मन है।,Yeh kamzor dushman hai
वह ठंडा पापा था।,Woh thanda papa tha.
वह डरपोक चाची था।,Woh darpok chachi tha.
बड़े फर्श,bade farsh
यह अच्छा पति और वह अच्छा पत्नी है।,Yeh accha pati aur woh accha patni hai
मुझे एक सबसे अच्छा डाउनलोड चाहिए।,mujhe ek sabse accha download chahiye.
वह बहादुर चाची था।,Woh bahadur chachi tha.
कौन आप गया,kaun aap gaya
यह ज़बरदस्त ससुर और वह ज़बरदस्त चाची है।,Yeh zabardast sasur aur woh zabardast chachi hai
खिड़की के साथ,khidki ke saath
यह अच्छा दादी और वह अच्छा घरवाले है।,Yeh accha dadi aur woh accha gharwale hai
यह गहरा बूढ़ा है।,Yeh gahra budha hai
वह बेहतर बूढ़ा था।,Woh behtar budha tha.
मुझे एक शानदार ऑर्डर चाहिए।,mujhe ek shaandaar order chahiye.
वह हैरान पति होगा।,Woh hairaan pati hoga.
वह ऊंचा पति होगा।,Woh ooncha pati hoga.
यह ताज़ा घर होगा।,Yeh taza ghar hoga.
यह साफ दोस्त है।,Yeh saaf dost hai
यह शानदार माँ है।,Yeh shaandaar maa hai
मैं ज़बरदस्त है,main zabardast hai
बढ़िया स्थान है,badhiya sthaan hai
मुझे एक डाउनलोड चाहिए,Mujhe ek download chahiye
वह बोलेगा,vah bolega
यह शेयर बेकार है।,Yeh share bekar hai
वह चिंतित दादी था।,Woh chintit dadi tha.
तुम बैठते हैं,tum baithte hain
मेरे पास तीन इश्क़ है।,Mere paas teen ishq hai.
यह स्नैपचैट खराब है।,Yeh Snapchat kharab hai
वह चपटा नानी था।,Woh chapta nani tha.
यह कमाल का पापा और वह कमाल का नाना है।,Yeh kamaal ka papa aur woh kamaal ka nana hai
वक़्त को,waqt ko
मुझे एक अच्छा मॉनिटर चाहिए।,mujhe ek accha monitor chahiye.
वह बेहतर चाची था।,Woh behtar chachi tha.
ध्यान रखो।,Dhyan rakho.
हम बोलूँगी,hum bolungi
होश उड़ना।,Hosh udna.
यह जलता भाई है।,Yeh jalta bhai hai
यह कैंसिल सुंदर है।,Yeh cancel sundar hai.
वह कमाल का ताऊ था।,Woh kamaal ka tau tha.
यह आसान ताई है।,Yeh aasan tai hai
वह गहरा बहन था।,Woh gahra behen tha.
